Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2021-01-04,126.54423522949219,159.3314971923828,85.99476623535156,210.423095703125,243.2566680908203
2021-01-05,128.10877990722656,160.92550659179688,86.6882553100586,210.62611389160156,245.0366668701172
2021-01-06,123.79645538330078,156.91900634765625,85.83283996582031,205.1646728515625,251.9933319091797
2021-01-07,128.02078247070312,158.10800170898438,88.39656066894531,211.0030517578125,272.0133361816406
2021-01-08,129.1257781982422,159.13499450683594,89.56681823730469,212.28866577148438,293.3399963378906
2021-01-11,126.12374114990234,155.7104949951172,87.497314453125,210.22976684570312,270.39666748046875
2021-01-12,125.9477310180664,156.04150390625,86.5577163696289,207.7552032470703,283.14666748046875
2021-01-13,127.9914321899414,158.29449462890625,87.04695129394531,209.11813354492188,284.8033447265625
2021-01-14,126.0552978515625,156.37350463867188,86.2333984375,205.9090118408203,281.6666564941406
2021-01-15,124.32447814941406,155.21249389648438,86.06898498535156,205.55130004882812,275.38665771484375
2021-01-19,124.99921417236328,156.03799438476562,88.90122985839844,209.2147979736328,281.51666259765625
2021-01-20,129.10617065429688,163.16900634765625,93.66395568847656,216.85108947753906,283.48333740234375
2021-01-21,133.8390350341797,165.34950256347656,93.86721801757812,217.46005249023438,281.663330078125
2021-01-22,135.9903106689453,164.6114959716797,94.28620147705078,218.4073486328125,282.21331787109375
2021-01-25,139.7550048828125,164.6999969482422,94.37188720703125,221.8678436279297,293.6000061035156
2021-01-26,139.98973083496094,166.30650329589844,95.05292510986328,224.5743865966797,294.36334228515625
2021-01-27,138.91407775878906,161.62899780273438,90.61849975585938,225.12535095214844,288.0533447265625
2021-01-28,134.05413818359375,161.88099670410156,92.3253173828125,230.9540557861328,278.4766540527344
2021-01-29,129.0377655029297,160.30999755859375,91.03797912597656,224.21678161621094,264.510009765625
2021-02-01,131.16944885253906,167.1439971923828,94.3116226196289,231.6499786376953,279.9366760253906
2021-02-02,132.00064086914062,169.0,95.60940551757812,231.5146942138672,290.92999267578125
2021-02-03,130.973876953125,165.62649536132812,102.57217407226562,234.88821411132812,284.89666748046875
2021-02-04,134.34747314453125,166.5500030517578,102.31062316894531,233.93121337890625,283.3299865722656
2021-02-05,133.93130493164062,167.6074981689453,104.06426239013672,234.1149444580078,284.07666015625
2021-02-08,134.0781707763672,166.14700317382812,103.84953308105469,234.37591552734375,287.8066711425781
2021-02-09,133.19679260253906,165.25,103.39469146728516,235.6324920654297,283.1533203125
2021-02-10,132.58961486816406,164.32899475097656,103.94718170166016,234.7142333984375,268.2733459472656
2021-02-11,132.3350067138672,163.10650634765625,104.06026458740234,236.3284454345703,270.5533447265625
2021-02-12,132.57000732421875,163.885498046875,104.37313842773438,236.81175231933594,272.0400085449219
2021-02-16,130.4351348876953,163.44749450683594,105.15381622314453,235.5648193359375,265.40667724609375
2021-02-17,128.13372802734375,165.4320068359375,105.54837036132812,236.59181213378906,266.04998779296875
2021-02-18,127.0271224975586,166.4114990234375,104.9101791381836,236.19456481933594,262.4599914550781
2021-02-19,127.18379211425781,162.4949951171875,104.06326293945312,233.46243286132812,260.4333190917969
2021-02-22,123.39383697509766,159.03700256347656,102.34199523925781,227.20367431640625,238.1666717529297
2021-02-23,123.25672149658203,159.72500610351562,102.6339340209961,226.00234985351562,232.94667053222656
2021-02-24,122.75729370117188,157.97650146484375,103.81416320800781,227.24246215820312,247.33999633789062
2021-02-25,118.48747253417969,152.85800170898438,100.43342590332031,221.8556671142578,227.4066619873047
2021-02-26,118.75186920166016,154.64649963378906,100.73033905029297,225.14002990722656,225.1666717529297
2021-03-01,125.14680480957031,157.3070068359375,103.1092300415039,229.55795288085938,239.47666931152344
2021-03-02,122.53203582763672,154.72650146484375,102.85116577148438,226.58363342285156,228.81333923339844
2021-03-03,119.53533172607422,150.25,100.20724487304688,220.47019958496094,217.73333740234375
2021-03-04,117.64524841308594,148.8784942626953,101.32917785644531,219.66607666015625,207.14666748046875
2021-03-05,118.9085693359375,150.0229949951172,104.47476959228516,224.3843231201172,199.31666564941406
2021-03-08,113.95323944091797,147.59750366210938,100.01244354248047,220.30552673339844,187.6666717529297
2021-03-09,118.58541107177734,153.1425018310547,101.64952087402344,226.49642944335938,224.52667236328125
2021-03-10,117.49836730957031,152.8820037841797,101.4417724609375,225.1787872314453,222.68666076660156
2021-03-11,119.4374008178711,155.67950439453125,104.64764404296875,229.74205017089844,233.1999969482422
2021-03-12,118.52664947509766,154.47450256347656,102.12976837158203,228.40504455566406,231.2433319091797
2021-03-15,121.4254150390625,154.08399963378906,102.3509750366211,227.49436950683594,235.97999572753906
2021-03-16,122.97274780273438,154.59300231933594,103.81815338134766,230.3040008544922,225.6266632080078
2021-03-17,122.17948150634766,156.7864990234375,103.73494720458984,229.6548614501953,233.93666076660156
2021-03-18,118.03697967529297,151.39950561523438,100.70194244384766,223.53179931640625,217.72000122070312
2021-03-19,117.50816345214844,153.7480010986328,100.98193359375,223.17333984375,218.2899932861328
2021-03-22,120.83782196044922,155.5435028076172,101.16775512695312,228.63758850097656,223.3333282470703
2021-03-23,120.00541687011719,156.875,101.69783020019531,230.1780548095703,220.72000122070312
2021-03-24,117.6060791015625,154.35350036621094,101.2594223022461,228.1240692138672,210.08999633789062
2021-03-25,118.09573364257812,152.31300354003906,101.25594329833984,225.1012725830078,213.4633331298828
2021-03-26,118.70291900634766,152.60150146484375,100.87084197998047,229.1123046875,206.23666381835938
2021-03-29,118.87919616699219,153.7864990234375,101.92002868652344,227.91094970703125,203.76333618164062
